Name,Order Form,VIN Log,Filter Out,Order Form ID,VIN Log ID,Pipedrive ORG ID
Auffenberg Hyundai,https://docs.google.com/spreadsheets/d/1NmD_ZAdwm30kKJi31enIpnpxGd1TyDZ2Jm5DoyX4Quk/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1pjizh_sm9lWInGKqza6nijE3vMeH610Xl1agnb2bTMU/edit?gid=0#gid=0,"Missing Stock #, New",1NmD_ZAdwm30kKJi31enIpnpxGd1TyDZ2Jm5DoyX4Quk,1pjizh_sm9lWInGKqza6nijE3vMeH610Xl1agnb2bTMU,
BMW of Columbia,https://docs.google.com/spreadsheets/d/1q5Abfosv0oDuD3eetzg9ys8y7BMpgnGc6NlkGhsiYUg/edit?gid=412499405#gid=412499405,https://docs.google.com/spreadsheets/d/1ECd5sEhXe1bRZld4uijaPPg0NebRitPVd6ovfX8127k/edit?gid=0#gid=0,"Missing Stock #, New",1q5Abfosv0oDuD3eetzg9ys8y7BMpgnGc6NlkGhsiYUg,1ECd5sEhXe1bRZld4uijaPPg0NebRitPVd6ovfX8127k,
BMW of West St. Louis,https://docs.google.com/spreadsheets/d/1KbMCT2DwIXBgJmy2OrdVtHbu6UH6E5DaIeXM5QD9_3E/edit?gid=760616013#gid=760616013,https://docs.google.com/spreadsheets/d/1ROiwdog70_g6msNFWQzZuOoQPrA6_D4fMH90FCV62yI/edit?gid=0#gid=0,"Missing Stock #, New",1ROiwdog70_g6msNFWQzZuOoQPrA6_D4fMH90FCV62yI,1ROiwdog70_g6msNFWQzZuOoQPrA6_D4fMH90FCV62yI,
Bommarito Cadillac,https://docs.google.com/spreadsheets/d/12UM_d1Oi3JGMhNi0U2KqObo70Zu6QR_xN25qvyhjPpY/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1l77_PQ5uuOhGBAAdpgIECeurcyZ9B2A87UzsaZ-PFy0/edit?gid=0#gid=0,"In-Transit, Missing Stock #",12UM_d1Oi3JGMhNi0U2KqObo70Zu6QR_xN25qvyhjPpY,1l77_PQ5uuOhGBAAdpgIECeurcyZ9B2A87UzsaZ-PFy0,
Bommarito West County Pre Owned,https://docs.google.com/spreadsheets/d/1qZdy9dUVtPveo7R-cDUKJBE6Q62pLKUU4l4QBCA6oa8/edit?gid=760616013#gid=760616013,https://docs.google.com/spreadsheets/d/1vewtoWmAZdCi19fdELNFWdMPNJv0izSRu48alp6VYNg/edit?gid=0#gid=0,"Missing Stock #, New",1qZdy9dUVtPveo7R-cDUKJBE6Q62pLKUU4l4QBCA6oa8,1vewtoWmAZdCi19fdELNFWdMPNJv0izSRu48alp6VYNg,
Columbia Honda,https://docs.google.com/spreadsheets/d/1RLTIvAKj1cD9Pn3ileC3ODVWyhqEucPPS2wruo-PQwU/edit?gid=760616013#gid=760616013,https://docs.google.com/spreadsheets/d/1LRSufnkt7jSn73l_M_d8jez2bfnJ8kH4wSXdJE04yTI/edit?gid=0#gid=0,"Missing Stock #, New",1RLTIvAKj1cD9Pn3ileC3ODVWyhqEucPPS2wruo-PQwU,1LRSufnkt7jSn73l_M_d8jez2bfnJ8kH4wSXdJE04yTI,
Dave Sinclair Lincoln South,https://docs.google.com/spreadsheets/d/1WkT2r79FasAqi-8_eG-RdM2w9gey-8qV4eM_L5MuUMM/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1g4R-NTVqCXmPIUxylDIp5GOUskQ60r_3l8NlLdatJE4/edit?gid=0#gid=0,"In-Transit, Missing Stock #, Used",1WkT2r79FasAqi-8_eG-RdM2w9gey-8qV4eM_L5MuUMM,1g4R-NTVqCXmPIUxylDIp5GOUskQ60r_3l8NlLdatJE4,
Dave Sinclair Lincoln St. Peters,https://docs.google.com/spreadsheets/d/1yaJnhf7mf-3OUT6ZP5kO1OJWxsdpZdg_-4GEv_T92jk/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1I_kBJyEMH5F74WW9r0eElYXVG-qJ-up1mpPOA62vuqU/edit?gid=0#gid=0,"In-Transit, Missing Stock #",1yaJnhf7mf-3OUT6ZP5kO1OJWxsdpZdg_-4GEv_T92jk,1I_kBJyEMH5F74WW9r0eElYXVG-qJ-up1mpPOA62vuqU,
Frank Leta Honda,https://docs.google.com/spreadsheets/d/12u-X4BLYDGd-eh9eWM_6bi-zHBf7BMeGauUkbj6c6r4/edit?gid=760616013#gid=760616013,https://docs.google.com/spreadsheets/d/1sIUhzbjnfWgvC3DnnCSA_64tsx5TcKyFYO_Lo5mAEpE/edit?gid=0#gid=0,"Missing Stock #, New",12u-X4BLYDGd-eh9eWM_6bi-zHBf7BMeGauUkbj6c6r4,1sIUhzbjnfWgvC3DnnCSA_64tsx5TcKyFYO_Lo5mAEpE,
Glendale CDJR,https://docs.google.com/spreadsheets/d/19WlYVk28sQuy95O--OQH50dFCzk0aCABNNq4eglk2ho/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1YOpMB-Csb6iI9xE1rrfwN15fY32m1zzjVSWJfYe5mZk/edit?gid=0#gid=0,"Missing PRICE, Missing Stock #, New",19WlYVk28sQuy95O--OQH50dFCzk0aCABNNq4eglk2ho,1YOpMB-Csb6iI9xE1rrfwN15fY32m1zzjVSWJfYe5mZk,
Honda of Frontenac,https://docs.google.com/spreadsheets/d/1-LmkzSHmltqmu9XgZvxc2qrO2O19ihkrcjxFFQIMAw8/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1Zoj-T5SOrVOajS1rmDFQ-ychXaUquwK0NNl0oPc5ZuI/edit?gid=0#gid=0,"Missing Stock #, New",1-LmkzSHmltqmu9XgZvxc2qrO2O19ihkrcjxFFQIMAw8,1Zoj-T5SOrVOajS1rmDFQ-ychXaUquwK0NNl0oPc5ZuI,
HW Kia of West County,https://docs.google.com/spreadsheets/d/1mN05kk7RgGXNo21tzbgqfvKxcNx7roMbqxSnhLB4XVQ/edit?gid=760616013#gid=760616013,https://docs.google.com/spreadsheets/d/1NwHjM6x60TTLsphLLPkDoPptts2b4LClDWUVwHNeO-4/edit?gid=0#gid=0,"Missing Stock #, New",1mN05kk7RgGXNo21tzbgqfvKxcNx7roMbqxSnhLB4XVQ,1NwHjM6x60TTLsphLLPkDoPptts2b4LClDWUVwHNeO-4,
Indigo Auto Group,https://docs.google.com/spreadsheets/d/1lv6mMhE0YzWpZjNG_aDa1kZgDEf4eQYsTHz8U0wbSL8/edit?gid=788639086#gid=788639086,https://docs.google.com/spreadsheets/d/1-YdxzNlSTOSD_7tI-AOYs3DKQM2iwhuO8OxEUeFTF68/edit?gid=0#gid=0,"Missing Stock #, New",1lv6mMhE0YzWpZjNG_aDa1kZgDEf4eQYsTHz8U0wbSL8,1-YdxzNlSTOSD_7tI-AOYs3DKQM2iwhuO8OxEUeFTF68,
